COUNT	WORD	CLASS
1	grupo	3
2	familia	25
3	nombre	43
4	obra	23
5	término	7
6	mayoría	26
7	persona	39
8	rey	42
9	ciudad	5
10	sistema	30
11	equipo	38
12	gobierno	22
13	especie	18
14	banda	24
15	miembro	25
16	canción	1
17	padre	39
18	versión	1
19	serie	44
20	población	26
21	autor	31
22	resto	8
23	número	23
24	tipo	17
25	álbum	1
26	hombre	20
27	hijo	10
28	trabajo	48
29	película	44
30	empresa	13
31	pueblo	26
32	país	20
33	programa	44
34	proyecto	41
35	libro	23
36	jugador	20
37	año	19
38	compañía	3
39	hermano	26
40	presidente	14
41	forma	17
42	The	23
43	edificio	12
44	personaje	24
45	partido	29
46	palabra	43
47	movimiento	3
48	juego	1
49	modelo	45
50	fuerza	27
51	historia	49
52	organización	3
53	título	46
54	línea	28
55	cuerpo	26
56	estudio	48
57	río	10
58	mujer	26
59	relación	2
60	estilo	21
61	proceso	41
62	tema	1
63	agua	45
64	actividad	48
65	casa	12
66	isla	5
67	disco	1
68	uso	33
69	unidad	45
70	municipio	26
71	estructura	12
72	fuente	8
73	artista	24
74	ley	37
75	tiempo	28
76	zona	5
77	Juan	10
78	estado	18
79	iglesia	12
80	género	26
81	elemento	18
82	autoridad	6
83	club	13
84	área	26
85	imagen	4
86	concepto	7
87	construcción	9
88	revista	23
89	cita	20
90	conjunto	18
91	función	41
92	gente	20
93	material	45
94	producción	9
95	lugar	5
96	director	19
97	figura	4
98	hecho	33
99	joven	39
100	texto	23
101	sitio	5
102	resultado	23
103	usuario	26
104	idea	15
105	producto	1
106	San	20
107	planta	5
108	servicio	18
109	C.	20
110	carrera	9
111	ministro	19
112	diseño	21
113	ejército	27
114	cantidad	17
115	gobernador	19
116	habitante	20
117	música	21
118	José	10
119	novela	23
120	caso	2
121	vida	41
122	comunidad	5
123	estrella	5
124	sencillo	1
125	región	18
126	canal	44
127	estación	8
128	pieza	18
129	acción	15
130	líder	6
131	voz	24
132	edición	29
133	teoría	17
134	centro	8
135	territorio	18
136	madre	39
137	poder	11
138	obispo	19
139	escuela	5
140	base	8
